Model,Base Price,EPA range (miles),Dest. Charge,Tax Credit,Effective Price
2024 Audi Q8 Sportback e-tron Premium AWD,"$77,800 ",296,"$1,195 ",$0 ,"$78,995 "
2024 Mercedes-Benz EQE 350 4Matic Sedan,"$77,900 ",280,"$1,150 ",$0 ,"$79,050 "
2024 Mercedes-Benz EQE 350+ SUV,"$77,900 ",307,"$1,150 ",$0 ,"$79,050 "
2024 Mercedes-Benz EQE 350 4Matic SUV,"$77,900 ",265,"$1,150 ",$0 ,"$79,050 "
2024 Chevrolet Silverado EV 4WT,"$77,905 ",450,"$1,995 ",$0 ,"$79,900 "
2024 Audi Q8 e-tron Premium Plus AWD,"$78,800 ",285,"$1,195 ",$0 ,"$79,995 "
2025 Lucid Air Touring,"$78,900 ",406,"$1,500 ",$0 ,"$80,400 "
2025 Polestar 3 Long Range Dual Motor Performance Pack AWD,"$79,400 ",279,"$1,400 ",$0 ,"$80,800 "
2025 Volvo EX90 Plus Twin Motor AWD,"$79,995 ",296,"$1,295 ",$0 ,"$81,290 "
2025 Rivian R1S Dual Large,"$82,900 ",330,$0 ,$0 ,"$82,900 "
2024 Audi Q8 Sportback e-tron Premium Plus AWD,"$82,200 ",296,"$1,195 ",$0 ,"$83,395 "
2025 Rivian R1T Dual Max,"$83,900 ",420,$0 ,$0 ,"$83,900 "
2025 BMW i5 M60,"$84,100 ",253,"$1,175 ",$0 ,"$85,275 "
2025 Volvo EX90 Ultra Twin Motor AWD,"$84,345 ",308,"$1,295 ",$0 ,"$85,640 "
2024 Audi Q8 e-tron Prestige AWD,"$84,800 ",285,"$1,195 ",$0 ,"$85,995 "
2025 Volvo EX90 Plus Twin Motor Performance AWD,"$84,995 ",296,"$1,295 ",$0 ,"$86,290 "
2024 Mercedes-Benz EQE 500 4Matic Sedan,"$85,900 ",298,"$1,150 ",$0 ,"$87,050 "
2024 Ford F-150 Lightning Platinum 4X4 131 kWh,"$84,995 ",300,"$2,095 ",$0 ,"$87,090 "
2025 BMW iX xDrive50,"$87,250 ",309,"$1,175 ",$0 ,"$88,425 "
2024 Audi Q8 e-tron Launch Edition AWD,"$87,550 ",285,"$1,195 ",$0 ,"$88,745 "
2024 Audi Q8 Sportback e-tron Prestige AWD,"$88,200 ",296,"$1,195 ",$0 ,"$89,395 "
2025 Rivian R1S Dual Max,"$89,900 ",410,$0 ,$0 ,"$89,900 "
2025 Volvo EX90 Ultra Twin Motor Performance AWD,"$89,345 ",308,"$1,295 ",$0 ,"$90,640 "
2024 Mercedes-Benz EQE 500 4Matic SUV,"$89,500 ",282,"$1,150 ",$0 ,"$90,650 "
2024 Audi SQ8 e-tron Premium Plus AWD,"$89,800 ",253,"$1,195 ",$0 ,"$90,995 "
2024 Tesla Model S Plaid,"$89,990 ",359,"$1,390 ",$0 ,"$91,380 "
2024 Audi Q8 Sportback e-tron Launch Edition AWD,"$91,950 ",296,"$1,195 ",$0 ,"$93,145 "
2024 Audi SQ8 Sportback e-tron Premium Plus AWD,"$92,600 ",253,"$1,195 ",$0 ,"$93,795 "
2024 Tesla Model X Plaid,"$94,990 ",326,"$1,390 ",$0 ,"$96,380 "
2024 Chevrolet Silverado EV First Edition 4WD,"$94,500 ",440,"$1,995 ",$0 ,"$96,495 "
2024 Audi SQ8 e-tron Prestige AWD,"$95,800 ",253,"$1,195 ",$0 ,"$96,995 "
2025 GMC Hummer EV Pickup 2X eAW,"$96,550 ",311,"$2,295 ",$0 ,"$98,845 "
2025 GMC Hummer EV SUV 2X eAWD,"$96,550 ",303,"$2,295 ",$0 ,"$98,845 "
2025 GMC Sierra EV Denali Edition 1,"$97,500 ",440,"$1,995 ",$0 ,"$99,495 "
2024 Audi SQ8 Sportback e-tron Prestige AWD,"$98,600 ",253,"$1,195 ",$0 ,"$99,795 "
2025 Rivian R1T Tri Max,"$99,900 ",371,$0 ,$0 ,"$99,900 "
2025 Porsche Taycan,"$99,400 ",274,"$1,995 ",$0 ,"$101,395 "
2024 Tesla Cybertruck AWD Foundation Series,"$99,990 ",318,"$1,995 ",$0 ,"$101,985 "
2024 Mercedes-Benz EQS 450+ Sedan,"$104,400 ",352,"$1,150 ",$0 ,"$105,550 "
2024 Mercedes-Benz EQS 450+ SUV,"$104,400 ",339,"$1,150 ",$0 ,"$105,550 "
2025 Rivian R1S Tri Max,"$105,900 ",371,$0 ,$0 ,"$105,900 "
2025 BMW i7 eDrive50,"$105,700 ",314,"$1,175 ",$0 ,"$106,875 "
2025 GMC Hummer EV Pickup 3X eAWD,"$104,650 ",381,"$2,295 ",$0 ,"$106,945 "
2025 GMC Hummer EV SUV 3X eAWD,"$104,650 ",314,"$2,295 ",$0 ,"$106,945 "
2024 Audi e-tron GT Premium Plus AWD,"$106,500 ",249,"$1,495 ",$0 ,"$107,995 "
2024 Mercedes-AMG EQE 4Matic+ Sedan,"$106,900 ",230,"$1,150 ",$0 ,"$108,050 "
2024 Mercedes-Benz EQS 450 4Matic Sedan,"$107,400 ",345,"$1,150 ",$0 ,"$108,550 "
2024 Mercedes-Benz EQS 450 4Matic SUV,"$107,400 ",330,"$1,150 ",$0 ,"$108,550 "
2024 Mercedes-AMG EQE 4Matic+ SUV,"$109,300 ",235,"$1,150 ",$0 ,"$110,450 "
2025 Lucid Air Grand Touring,"$110,900 ",512,"$1,500 ",$0 ,"$112,400 "
2025 BMW iX M60 xDrive,"$111,500 ",285,"$1,175 ",$0 ,"$112,675 "
2025 Porsche Taycan 4 Cross Turismo,"$111,100 ",277,"$1,995 ",$0 ,"$113,095 "
