Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2024 Volvo EX40 (XC40 Recharge) Ultimate AWD,"$60,550 ","$1,295 ",$0 ,"$61,845 ",254.0
2024 Volvo EC40 (C40 Recharge) Ultimate AWD,"$60,550 ","$1,295 ",$0 ,"$61,845 ",257.0
2024 Mercedes-Benz EQB 350 4Matic,"$60,850 ","$1,150 ",$0 ,"$62,000 ",207.0
2025 Genesis GV60 Advanced AWD,"$60,900 ","$1,250 ",$0 ,"$62,150 ",
2024 Acura ZDX A-Spec AWD,"$68,500 ","$1,350 ","$7,500 ","$62,350 ",304.0
2024 Ford F-150 Lightning Flash 4X4 131 kWh,"$67,995 ","$2,095 ","$7,500 ","$62,590 ",320.0
2024 BMW i4 xDrive40 Gran Croupe,"$61,600 ","$1,175 ",$0 ,"$62,775 ",307.0
2024 Kia EV6 GT AWD,"$61,600 ","$1,375 ",$0 ,"$62,975 ",218.0
2024 Audi Q4 e-tron 55 Prestige AWD,"$62,200 ","$1,195 ",$0 ,"$63,395 ",258.0
2025 BMW i4 xDrive40 Gran Croupe,"$62,300 ","$1,175 ",$0 ,"$63,475 ",287.0
2024 Audi Q4 Sportback e-tron Premium Plus AWD,"$62,900 ","$1,195 ",$0 ,"$64,095 ",258.0
2025 Polestar 4 Long Range Dual Motor AWD,"$62,900 ","$1,400 ",$0 ,"$64,300 ",270.0
2024 Cadillac Lyriq Luxury 2 AWD,"$70,490 ","$1,395 ","$7,500 ","$64,385 ",307.0
2024 Cadillac Lyriq Luxury 3 RWD,"$70,590 ","$1,395 ","$7,500 ","$64,485 ",314.0
2024 Cadillac Lyriq Sport 2 AWD,"$70,990 ","$1,395 ","$7,500 ","$64,885 ",307.0
2024 Cadillac Lyriq Sport 3 RWD,"$71,090 ","$1,395 ","$7,500 ","$64,985 ",314.0
2024 Kia EV9 Wind AWD,"$63,900 ","$1,495 ",$0 ,"$65,395 ",280.0
2024 Lexus RZ 450e Luxury AWD,"$64,430 ","$1,175 ",$0 ,"$65,605 ",196.0
2024 Audi Q4 Sportback e-tron Prestige AWD,"$65,200 ","$1,195 ",$0 ,"$66,395 ",258.0
2024 Acura ZDX Type S AWD,"$73,500 ","$1,350 ","$7,500 ","$67,350 ",278.0
2025 Hyundai Iniq 5 N AWD,"$66,100 ","$1,395 ",$0 ,"$67,495 ",221.0
2024 Cadillac Lyriq Luxury 3 AWD,"$74,090 ","$1,395 ","$7,500 ","$67,985 ",307.0
2025 BMW i5 eDrive40,"$67,100 ","$1,175 ",$0 ,"$68,275 ",295.0
2025 Genesis Electrified GV70 AWD,"$66,950 ","$1,350 ",$0 ,"$68,300 ",
2024 Acura ZDX Type S AWD Performance Wheels & Tires,"$74,500 ","$1,350 ","$7,500 ","$68,350 ",278.0
2024 Cadillac Lyriq Sport 3 AWD,"$74,590 ","$1,395 ","$7,500 ","$68,485 ",307.0
2025 Rivian R1T Dual Standard,"$69,900 ",$0 ,$0 ,"$69,900 ",270.0
2024 BMW i4 M50 Gran Croupe,"$69,700 ","$1,175 ",$0 ,"$70,875 ",269.0
2025 Genesis GV60 Performance AWD,"$69,900 ","$1,250 ",$0 ,"$71,150 ",
